ImeUmernina1;10000000;1801;Umetnik1;Tehnika1
UmerninaIme2;2000000;1801;Umetnik1;Tehnika1
UmerninaIme3;310000;1801;Umetnik1;Tehnika1
UmerninaIme4;10000;1801;Umetnik1;Tehnika1
UmerninaIme5;90000;1801;Umetnik2;Tehnika2
UmerninaIme6;1801;1900;Umetnik2;Tehnika2
UmerninaIme7;49000;1900;Umetnik2;Tehnika2
UmerninaIme8;50000;1500;Umetnik2;Tehnika2
UmerninaIme9;410000;1945;Umetnik2;Tehnika2
UmerninaIme10;20000;1200;Umetnik3;Tehnika3
UmerninaIme11;30000;1801;Umetnik3;Tehnika4
UmerninaIme12;410000;900;Umetnik3;Tehnika3
UmerninaIme13;50000;1500;Umetnik4;Tehnika3
UmerninaIme14;90000;1432;Umetnik5;Tehnika4
UmerninaIme15;31000;1623;Umetnik5;Tehnika1
UmerninaIme16;10000;1724;Umetnik5;Tehnika1
UmerninaIme17;5000;1345;Umetnik5;Tehnika1
UmerninaIme18;410000;1728;Umetnik5;Tehnika3
UmerninaIme18;5000000;1623;Umetnik1;Tehnika2
UmerninaIme20;670000000;1900;Umetnik1;Tehnika2
UmerninaIme21;1000000;1021;Umetnik1;Tehnika2
UmerninaIme22;40000000;400;Umetnik2;Tehnika2
UmerninaIme23;300000;301;Umetnik2;Tehnika1
UmerninaIme24;500000;500;Umetnik4;Tehnika1
